index,Cr_min,Cr_max,A,B,C,D
(),(kPa),(kPa),CN,CN,CN,CN
1,4,14,40,60,69,76
2,3,6,43,65,76,82
3,2,4,49,69,79,84
4,0,0,77,86,91,94
5,0,0,30,30,30,30
6,0,0,77,86,91,94
7,0,0,77,86,91,94
8,0,1,90,92,96,98
9,999,999,100,100,100,100
10,999,999,100,100,100,100
